postcode,name,search_postcode,latitude,longitude
"27749, 27751, 27753, 27755",Delmenhorst,27749,53.05176434152543,8.637183710275423
17109,Demmin,17109,53.90539686353147,13.034462464825173
"06842–06849,06861, 06862Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Dessau-Roßlau,06842,51.82039471843238,12.250099156761411
"32756, 32758, 32760",Detmold,32756,51.938944644902165,8.874906512373107
64807,Dieburg,64807,49.89836506364223,8.839550992152226
34474,Diemelstadt,34474,51.48352349108312,8.991915592443325
49356,Diepholz,49356,52.61020494774965,8.371642429869903
56269,Dierdorf,56269,50.5490544647482,7.656431574100719
89165,Dietenheim,89165,48.238096121683675,10.058598354464285
92345,Dietfurt an der Altmühl,92345,49.01445001671554,11.579898526099708
63128,Dietzenbach,63128,50.01564865228759,8.779786711816305
65582,Diez,65582,50.37229918418803,8.020193722649573
35683–35690,Dillenburg,35683,50.734439875526746,8.286666528282009
66763,Dillingen/Saar,66763,49.36116559813161,6.7311077311342595
89407,Dillingen an der Donau,89407,48.57941850647526,10.497807798289553
37351,Dingelstädt,37351,51.26197385337915,10.343790745475372
84130,Dingolfing,84130,48.6374621110271,12.491716857781977
91550,Dinkelsbühl,91550,49.067426443037654,10.321412744099066
49413,Dinklage,49413,52.661455586322866,8.120608535388639
